subject,culture,task_name,stimulus,stimulus,trial_num,codeable,first_mention_focal,coder
SS1651690949027,US,FD,media/images/free_description/01-boat-river.jpg,I see a boat run aground. It appears to be in the midst of a narrow canal with development on either side.,6,1,1,acao
SS1651690691047,US,FD,media/images/free_description/01-boat-river.jpg,A boat docked on a riverside of some ones home. In a small town.,3,1,1,acao
SS1651680129189,US,FD,media/images/free_description/01-boat-river.jpg,A boat an a residential river.,2,1,1,acao
SS1651678267140,US,FD,media/images/free_description/01-boat-river.jpg,There's a boat alng the shore of a narrow river. Along that river there re a number of buildings.,7,1,1,acao
SS1651680530568,US,FD,media/images/free_description/01-boat-river.jpg,There is a boat in the water. The boat is up on the edge of the grass/water.,4,1,1,acao
SS1651868745180,US,FD,media/images/free_description/01-boat-river.jpg,There is an empty boat on the nice river. Seems like nobody around that boat.,1,1,1,acao
SS1651616861546,US,FD,media/images/free_description/01-boat-river.jpg,There is a boat on a river shipwrecked. There were some houses.,2,1,1,acao
SS1651678242246,US,FD,media/images/free_description/01-boat-river.jpg,It looked like the back of someones house that had a river behind them. They had a boat that they use regularly.,2,1,0,acao
SS1651868966456,US,FD,media/images/free_description/01-boat-river.jpg,In the picture is a canal with water. There is a boat at the forefront of the river and the river is lined with houses on my left side.,2,1,0,acao
SS1651678353530,US,FD,media/images/free_description/01-boat-river.jpg,There is a small boat docked at a pathway to a house. The body of water looks like a channel or river.,7,1,1,acao
SS1651616839120,US,FD,media/images/free_description/01-boat-river.jpg,There is a boat in the water. There are a couple of houses on the side of the water.,7,1,1,acao
SS1651678227696,US,FD,media/images/free_description/01-boat-river.jpg,"A riverbank area, some housing in the background with green foliage, a boat in the water.",1,1,0,acao
SS1651678257395,US,FD,media/images/free_description/01-boat-river.jpg,"There was a small boat on the shore of what appeared to be a canal. There were buildings alongside the canal, possibly homes.",7,1,1,acao
SS1651870443746,US,FD,media/images/free_description/01-boat-river.jpg,There's a boat pulled up to the edge of a river in in front of a walkway leading to a house.,7,1,1,acao
SS1651678220434,US,FD,media/images/free_description/01-boat-river.jpg,a boat that is docked next to a river,7,1,1,acao
