subject,culture,task_name,stimulus,trial_raw,trial_num,codeable,first_mention_focal,bckgrd_description,focal_description,coder
SS1651616817210,US,FD,media/images/free_description/06-train-red.jpg,"It was a photo of an old bright red and black train. It is on display, in front of what appears to be an old brick train station. ",1,1,1,0,0,AT
SS1651616817210,US,FD,media/images/free_description/07-train-green.jpg,"This photo was of an industrial-looking, more modern and sleek green train. It is located in a freight yard. ",2,1,1,0,0,AT
SS1651616817210,US,FD,media/images/free_description/04-squirrel.jpg,This photo was a closeup of a squirrel in the low branches of a tree. In the background you can see more trees at what appears to be a college campus.,3,1,1,0,0,AT
SS1651616817210,US,FD,media/images/free_description/05-tiger.jpg,"The picture was of a tiger -- was she pregnant? Heavy, anyway, She had her front feet perches on a rock that was at one side of a small river. ",4,1,1,0,0,AT
SS1651616817210,US,FD,media/images/free_description/02-bike.jpg,"This picture was of a bicycle, chained (one assumes) to a post of a chain link fence separating a sidewalk from a grassy area. In the background is a blue sanican and a grey building.",5,1,1,0,0,AT
SS1651616817210,US,FD,media/images/free_description/03-plane.jpg,In this picture is what seems a photoshopped jet flying low over a waterway. In the background is the US Capital.,6,1,1,0,0,AT
SS1651616817210,US,FD,media/images/free_description/01-boat-river.jpg,"In this photo there was a canal running to what looks like a larger waterway. In the foreground is an old rowboat, with a pink interior, and that color of pink is the same as in a building farther in the background. ",7,1,0,0,0,AT
SS1651616819170,US,FD,media/images/free_description/03-plane.jpg,A fighter jet was flying over a body of water with a large building in the background. It appeared to be summertime.,1,1,1,0,0,AT
SS1651616819170,US,FD,media/images/free_description/04-squirrel.jpg,There was a squirrel in a tree. The tree appeared to be on a campus of some sort.,2,1,1,0,0,AT
SS1651616819170,US,FD,media/images/free_description/07-train-green.jpg,"There was an old train, colored green and yellow. It was parked in a station.",3,1,1,0,0,AT
SS1651616819170,US,FD,media/images/free_description/01-boat-river.jpg,There was a boat parked on the shore of a river. There were pink houses along the river bank.,4,1,1,0,0,AT
SS1651616819170,US,FD,media/images/free_description/02-bike.jpg,"There was a bicycle chained to an ornate iron fence. It looked to be in front of a library, or school building of some sort.",5,1,1,0,0,AT
SS1651616819170,US,FD,media/images/free_description/06-train-red.jpg,An old steam engine train was sitting on display outside of a building.,6,1,1,0,0,AT
SS1651616819170,US,FD,media/images/free_description/05-tiger.jpg,A tiger was standing on a rock at the edge of a body of water.,7,1,1,0,0,AT
SS1651616821119,US,FD,media/images/free_description/04-squirrel.jpg,This is a picture of a squirrel sitting in a tree. It is daylight outside and the weather appears to be warm since I see a lot of greenery.,1,1,1,0,0,AT
SS1651616821119,US,FD,media/images/free_description/02-bike.jpg,This is a picture of a bike. The bike is leaning against a fence in an urban environment.,2,1,1,0,0,AT
SS1651616821119,US,FD,media/images/free_description/06-train-red.jpg,A train,3,1,1,0,0,AT
SS1651616821119,US,FD,media/images/free_description/07-train-green.jpg,This is a picture of an old-timey train sitting next to a train station.,4,1,1,0,0,AT
SS1651616821119,US,FD,media/images/free_description/05-tiger.jpg,This is a green train pulling out of a train station.,5,0,1,0,0,AT
SS1651616821119,US,FD,media/images/free_description/03-plane.jpg,"This is a large, adult tiger standing next to a small pond. His front legs are atop a large rock adjacent to the pond.",6,0,1,0,0,AT
SS1651616821119,US,FD,media/images/free_description/01-boat-river.jpg,It looked like a space shuttle flying low over a lake.,7,0,1,0,0,AT
SS1651616823657,US,FD,media/images/free_description/06-train-red.jpg,I saw something really cool that I didn't think still existed. I saw an old school steam train from like the 1800s.,1,1,1,0,0,AT
SS1651616823657,US,FD,media/images/free_description/05-tiger.jpg,A tiger on top of a rock getting to drink water. But hears something and looks away to see what it was.,2,1,1,0,0,AT
SS1651616823657,US,FD,media/images/free_description/04-squirrel.jpg,A squirrel resting on top of a tree branch.,3,1,1,0,0,AT
SS1651616823657,US,FD,media/images/free_description/07-train-green.jpg,A green train.,4,1,1,0,0,AT
