subject,task_name,stimulus,trial_raw,trial_num,codeable,first_mention_focal,imada_bckgrd_description,imada_focal_description,full_bckgrd_description,full_focal_description,coder
SS1608910542319,FD,images/free_description/01-boat-river.jpg,"一叶小船停在岸边。
岸边有一群平方。",5,1,1,0,1,3,3,
SS1608915923505,FD,images/free_description/01-boat-river.jpg,在乡村里，有一大排矮的平房。一条看不起来并不干净的河流上停着一辆小的木船。,7,1,0,2,2,6,4,
SS1608919052817,FD,images/free_description/01-boat-river.jpg,在一个村庄里，有一些破旧的房屋，河边有一条小船，整个画面很宁静。,6,1,0,1,1,4,2,
SS1608922359968,FD,images/free_description/01-boat-river.jpg,一辆木船停在河道里，两岸有绿色植被,6,1,1,2,1,5,3,
SS1608939499047,FD,images/free_description/01-boat-river.jpg,在一条河边有几座房子。河里面停靠着一条船。天气是晴朗的，生活着这里一定很舒服安逸。,1,1,0,2,0,7,2,
SS1608943874386,FD,images/free_description/01-boat-river.jpg,这是一个乡村小城。村边有一条静静流淌的小河。小河上有一只无人的小船。,3,1,0,5,2,9,3,
SS1608945641685,FD,images/free_description/01-boat-river.jpg,"这个图片里有一条河流。

河两边是人家。

合上有只船，船的一头留在岸上。",4,1,0,1,0,6,4,
SS1608948095292,FD,images/free_description/01-boat-river.jpg,村庄的小河边停放着一艘小渔船，河边有较多的树。,7,1,0,2,2,8,3,
SS1608949381789,FD,images/free_description/01-boat-river.jpg,有一艘破旧的小船停靠在岸边，岸边有几个小房子。,6,1,1,2,2,5,3,
SS1608954326224,FD,images/free_description/01-boat-river.jpg,一条小溪从村庄间流过。村庄的房屋依水而建。小溪的岸边停靠着一艘小艇。,7,1,0,1,1,10,3,
SS1608954731700,FD,images/free_description/01-boat-river.jpg,一条河穿过了一个小镇，河边听着一条船。,7,1,0,1,0,5,1,
SS1608970887825,FD,images/free_description/01-boat-river.jpg,看起来是一个很穷的农村地区，有一条河，河边停着一艘小船。,3,1,0,0,1,2,1,
SS1608972269897,FD,images/free_description/01-boat-river.jpg,"图片是一个村子
村里有一条河
河上有船",3,1,0,0,0,2,1,
SS1608977429765,FD,images/free_description/01-boat-river.jpg,郊区或乡下的平房前有一条小河。小河上有一条空着的小船。,5,1,0,4,2,7,3,
SS1608996310483,FD,images/free_description/01-boat-river.jpg,一条河里漂浮着一艘小船，旁边起码有三户人家。另一边是树林，很美丽。,2,1,0,1,1,7,3,
SS1608996688173,FD,images/free_description/01-boat-river.jpg,晴朗的天气的乡下，一条小河从画面中间穿过，小河河畔停了一条小船,1,1,0,3,1,9,3,
SS1608997032951,FD,images/free_description/01-boat-river.jpg,在一条河的岸边上有植物和房屋，水下有着一艘停靠在岸边的小船,4,1,0,0,2,4,4,
SS1608997112698,FD,images/free_description/01-boat-river.jpg,有一艘木船停在河边，岸上有草地和房子。,2,1,1,0,1,3,3,
SS1608997232238,FD,images/free_description/01-boat-river.jpg,农村的河边有一个灰白的平房，房前的岸边停着一艘马达驱动的船,5,1,0,3,1,4,5,
SS1608997522324,FD,images/free_description/01-boat-river.jpg,有几户人家靠着水，水上有一叶小舟,4,1,0,1,1,3,3,
SS1608997707068,FD,images/free_description/01-boat-river.jpg,图片上有一艘停在河边的小船，河边有绿树有房子。,6,1,0,1,2,3,3,
SS1608997774748,FD,images/free_description/01-boat-river.jpg,在农村的河边，绿意盎然，一艘小木船停留在码头边。,7,1,0,2,2,3,4,
SS1608997826306,FD,images/free_description/01-boat-river.jpg,这是我的家乡云南，依山傍水，环境清幽，欢迎您去做客。,6,0,1,0,0,0,0,
SS1608998177863,FD,images/free_description/01-boat-river.jpg,这是一幅风景画，右边是一条河，河上有木质的小船。左边依次是草坪和房屋，大概有2、3栋房屋。在左下角还有晾在户外的衣服。,1,1,0,2,2,9,3,
SS1608998191588,FD,images/free_description/01-boat-river.jpg,清晨一只小船停在河边。小河旁边有民房。,5,1,1,0,1,3,3,
SS1608998414826,FD,images/free_description/01-boat-river.jpg,有条小船停靠在一个小码头上。小码头后有一个小屋子。小船经过的这条河流很宽阔。,4,1,1,4,2,9,5,
SS1609000443345,FD,images/free_description/01-boat-river.jpg,一艘无人的小艇停在河边，看起来像是老旧的乡下,6,1,1,0,2,3,4,
SS1609000763890,FD,images/free_description/01-boat-river.jpg,这张图片里有一条小河，河边停靠着一艘木船。河边的小路上有些破旧的房子。图片整体看上去有些暗，像是多年以前的旧照片。,1,1,0,4,1,9,3,
SS1609001721768,FD,images/free_description/01-boat-river.jpg,小河边停着一艘小木船。河边有一排平房。,2,1,0,1,2,5,4,
SS1609001790486,FD,images/free_description/01-boat-river.jpg,"一个乡村的河岸上长满了青草，一艘小船正停靠在岸边。
",6,1,0,1,1,4,3,
SS1609002028914,FD,images/free_description/01-boat-river.jpg,一页小舟停在河岸。两岸树木挺拔。像是一幅乡间景象。,7,1,1,1,1,4,3,
SS1609005519115,FD,images/free_description/01-boat-river.jpg,一艘船靠在岸边，图面右侧是一条河，左边是房子,5,1,1,0,0,4,2,
SS1609006007662,FD,images/free_description/01-boat-river.jpg,图片中有一艘小船停靠在河边。船的背后有很多房子和树木。,4,1,1,1,1,5,3,
SS1609029671133,FD,images/free_description/01-boat-river.jpg,在一片水塘的左侧岸边停放着一艘小船，岸上有一幢小房子，水面上方挂着电线。,3,1,0,1,1,9,3,
SS1609032756992,FD,images/free_description/01-boat-river.jpg,"像是中国的小乡村。
有一条小河，河上停着一艘船。
岸边是白色的房子。",6,1,0,2,0,7,2,
SS1609034845673,FD,images/free_description/01-boat-river.jpg,平静的湖面上停着一艘小船。岸上树木青翠。天空呈现紫调。,1,1,0,3,1,7,3,
SS1609035087170,FD,images/free_description/01-boat-river.jpg,有一条河，河上有一艘船在近处，穿上有一些废弃的物品，还有一艘在很远处，岸边有树，还有房子。,1,1,0,1,1,6,4,
SS1609035269711,FD,images/free_description/01-boat-river.jpg,在一条小河里停着一只船，岸边有几处破旧的房子,6,1,0,2,0,6,2,
SS1609035512006,FD,images/free_description/01-boat-river.jpg,图片中有一条比较宽的河，河畔停着一只有点破旧的小木渔船，河岸上是绿草，岸边是乡村的平房，图片中有一条电线横在空中，图片像是站在河上的桥上拍摄的,1,1,0,3,4,11,6,
SS1609035895621,FD,images/free_description/01-boat-river.jpg,一艘小木船停靠在岸边，岸上绿树成荫，有一座房子。,5,1,1,1,2,8,4,
SS1609038166902,FD,images/free_description/01-boat-river.jpg,小船停在河岸边，岸上是房子。,4,1,1,0,1,3,3,
SS1609038359555,FD,images/free_description/01-boat-river.jpg,图片中是一条宽阔的河，河中停放着两艘比较破旧的船，一艘较近一艘较远。河的两岸有一些平房和杂草。,3,1,0,1,4,9,5,
SS1609040322263,FD,images/free_description/01-boat-river.jpg,一艘小船停在小河上。小河从村庄穿过。,2,1,1,2,1,6,3,
SS1609041102827,FD,images/free_description/01-boat-river.jpg,一个小木船停在小河上，河边有植物和房子,7,1,1,0,2,5,4,
SS1609045009059,FD,images/free_description/01-boat-river.jpg,一条小河上面有艘小船停在岸边。河边是工厂和村庄。,6,1,0,1,1,7,3,
SS1609045159745,FD,images/free_description/01-boat-river.jpg,一艘小船停在河边，左边是人家，右边是树木。远方还有一艘小船。,5,1,1,0,3,7,3,
SS1609047757543,FD,images/free_description/01-boat-river.jpg,左边是岸上的房子，岸上是绿草。右边是一条河，河上有个小船。右上是蓝天。,2,1,0,2,1,11,2,
SS1609050562848,FD,images/free_description/01-boat-river.jpg,一条小船停靠在岸边，小河蜿蜒向前，河岸旁是整齐的民居，十足的烟火气息。,6,1,1,3,1,8,3,
SS1609051064792,FD,images/free_description/01-boat-river.jpg,一艘破旧的小船，停靠在河岸旁。,6,1,1,0,2,2,4,
SS1609054193360,FD,images/free_description/01-boat-river.jpg,图上有一条河，不怎么干净，河边⏹着一艘小船，好像废弃了些日子。,7,1,0,1,2,4,4,
SS1609054420221,FD,images/free_description/01-boat-river.jpg,A boat is moored at the river bank. On the bank were several houses that seem old. I can also see a lake in the distance.,3,0,1,0,0,0,0,
SS1609056109961,FD,images/free_description/01-boat-river.jpg,"有一条很长的河流。
河流的岸边有一个小船。
河岸边上有几户人家。
",3,1,0,2,1,8,2,
SS1609056238065,FD,images/free_description/01-boat-river.jpg,"这是一幅水乡的图片。
房屋都沿河建造，一片宁静的感觉。
河边停驻着一艘小船，可以乘船游玩，观赏周边景色。",2,1,0,1,1,5,3,
SS1609057298261,FD,images/free_description/01-boat-river.jpg,"有一个很美的小村子非常有意境！
村里有一条小河，很有诗意。
河边还有一个小木船，好想上去试试。
",2,1,0,1,2,5,3,
SS1609057764742,FD,images/free_description/01-boat-river.jpg,这张照片描述了一个乡村景象，中间流淌着一条河，一条小船停靠在岸边，河的左岸边住着几户人家，两户蓝房子，两户红房子，河岸右边是一片树林。,1,1,0,3,1,15,3,
SS1609057903683,FD,images/free_description/01-boat-river.jpg,图片左边有几个房子，似乎是一处村落。图片右边是一条河流。河流上停着一艘小船。,3,1,0,1,1,7,3,
SS1609062380695,FD,images/free_description/01-boat-river.jpg,一条船停在湖畔，给人一种安宁祥和的感觉。,5,1,1,0,0,2,2,
